127.0.0.1, 2016-03-03 14:46:33, GET, /welcome/default/index, HTTP/1.1, 200, 0.040315
127.0.0.1, 2016-03-03 14:46:36, GET, /admin/default/index, HTTP/1.1, 303, 0.002844
127.0.0.1, 2016-03-03 14:46:36, GET, /admin/default/site, HTTP/1.1, 200, 0.027233
127.0.0.1, 2016-03-03 14:46:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000182
127.0.0.1, 2016-03-03 14:46:58, POST, /admin/default/site, HTTP/1.1, 303, 0.047643
127.0.0.1, 2016-03-03 14:46:58, GET, /admin/default/design/IntellegentPlatformMaster, HTTP/1.1, 200, 0.083562
127.0.0.1, 2016-03-03 14:46:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000204
127.0.0.1, 2016-03-03 14:47:20, GET, /welcome/default/index, HTTP/1.1, 200, 0.013374
127.0.0.1, 2016-03-03 14:47:22, GET, /admin/default/index, HTTP/1.1, 303, 0.003855
127.0.0.1, 2016-03-03 14:47:22, GET, /admin/default/site, HTTP/1.1, 200, 0.031468
127.0.0.1, 2016-03-03 14:47:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000216
127.0.0.1, 2016-03-03 14:47:31, POST, /admin/default/site, HTTP/1.1, 303, 0.050168
127.0.0.1, 2016-03-03 14:47:31, GET, /admin/default/design/IntellegentPlatformAgent, HTTP/1.1, 200, 0.089805
127.0.0.1, 2016-03-03 14:47:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000231
127.0.0.1, 2016-03-03 14:49:45, GET, /IntellegentPlatformAgent/default/index, HTTP/1.1, 200, 0.435753
127.0.0.1, 2016-03-03 14:49:45, GET, /IntellegentPlatformAgent/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000603
127.0.0.1, 2016-03-03 14:49:45, GET, /IntellegentPlatformAgent/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000895
127.0.0.1, 2016-03-03 14:49:45, GET, /IntellegentPlatformAgent/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001249
127.0.0.1, 2016-03-03 14:49:45, GET, /IntellegentPlatformAgent/static/css/calendar.css, HTTP/1.1, 200, 0.000545
127.0.0.1, 2016-03-03 14:49:45, GET, /IntellegentPlatformAgent/static/js/jquery.js, HTTP/1.1, 200, 0.000693
127.0.0.1, 2016-03-03 14:49:45, GET, /IntellegentPlatformAgent/static/js/calendar.js, HTTP/1.1, 200, 0.000195
127.0.0.1, 2016-03-03 14:49:45, GET, /IntellegentPlatformAgent/static/js/web2py.js, HTTP/1.1, 200, 0.000197
127.0.0.1, 2016-03-03 14:49:45, GET, /IntellegentPlatformAgent/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000601
